REG_ANS,ANO,TRIMESTRE,PERIODO,DESPESA DE COMERCIALIZAÇÃO DIFERIDA,ATIVO NÃO CIRCULANTE INTANGÍVEL,DESPESAS ANTECIPADAS,CRÉDITO TRIBUTÁRIO,PARTICIPAÇÕES OPS,PARTICIPAÇÕES INSTITUIÇÕES REGULADAS,PARTICIPAÇÕES COOPERATIVAS,APLICAÇÕES GARANTIDORAS,PPSC,RECEITAS FINANCEIRAS,DESPESAS FINANCEIRAS,OUTRAS RECEITAS OPERACIONAIS,OUTRAS DESPESAS OPERACIONAIS,DESPESA,RECEITA,TRIBUTOS DIRETOS,IMPOSTO SOBRE LUCRO,PEONA_OUTROS,PESL_OUTROS,PESL_SUS,REMISSAO,PPCNG,PROVISOES_TECNICAS,DESPESA_ADM,DESPESA_COM,VARIACAO_PEONA,EVENTOS_INDENIZAVEIS_POS,EVENTOS_INDENIZAVEIS_PRE,EVENTOS_INDENIZAVEIS_LIQUIDOS,CORRESP_CEDIDA_POS,CORRESP_CEDIDA_PRE,CONTRAPRESTACAO_POS,CONTRAPRESTACAO_PRE,RECEITA_COM_ASSISTENCIA_A_SAUDE,PL,PASSIVO_NAO_CIRCULANTE,PASSIVO_CIRCULANTE,PASSIVO,CREDITO_OPER_PS,ATIVO_CIRCULANTE,ATIVO,beneficiarios_x,porte_x,beneficiarios_y,porte_y,beneficiarios,porte,CHAVE_PERIODO
361941,2016,4,201604,0.0,258842.94,103841.0,0.0,0.0,0.0,0.0,3463693.43,321701.07000000007,379572.48,804369.29,3788558.1500000004,1731583.4799999995,14459160.360000007,16622094.430000007,-537203.1299999999,148957.96999999997,1434128.44,1734475.33,790213.08,112692.32,1165735.04,5237244.21,1586372.42,66786.91999999998,7208.090000000084,49026.78,10213813.379999999,10270048.25,0.0,0.0,52760.759999999995,13003782.940000005,12869956.89,9965839.07,15066062.72,11718806.96,36750708.75,794036.74,14909985.07,36750708.75,18476.0,Pequeno Porte,18476.0,Pequeno Porte,18.476,Pequeno Porte,361941201604
362140,2016,1,201601,0.0,0.0,7766.82,0.0,0.0,1097782.04,0.0,4799192.73,717711.06,264031.5,697377.5,753498.04,1711143.23,11288362.83,11375103.42,-90686.17,0.0,2383807.76,1861519.93,738308.32,23864.29,766946.91,5774447.21,2260163.08,0.0,139180.27,0.0,6480498.75,6619679.02,0.0,0.0,0.0,10436010.77,10448260.05,4015621.41,1088337.85,11269046.25,16373005.51,816570.56,12167159.89,16373005.51,17584.0,Pequeno Porte,17584.0,Pequeno Porte,17.584,Pequeno Porte,362140201601
362140,2016,2,201602,0.0,0.0,7744.05,0.0,0.0,1097782.04,0.0,4910323.61,297763.6699999999,164549.0,528529.04,570630.45,1448691.25,10744260.4,10840196.03,-80329.31000000001,0.0,2391458.75,1344902.64,939135.16,25741.79,735847.46,5437085.8,2471373.63,0.0,7650.99000000002,0.0,6282096.09,6289747.08,0.0,0.0,0.0,10178379.600000001,10185345.89,4382231.58,923240.91,10302386.04,15607858.53,804088.43,11496869.82,15607858.53,17231.0,Pequeno Porte,17231.0,Pequeno Porte,17.231,Pequeno Porte,362140201602
362140,2016,3,201603,0.0,0.0,3532.53,0.0,0.0,1097782.04,0.0,5075919.86,412474.1699999999,351851.32999999996,279508.93999999994,677840.25,1802378.1199999996,11368045.079999998,11489776.709999997,-92676.70999999999,0.0,2352547.52,76287.53,1066706.58,18554.32,722743.4,4236839.35,2653056.79,0.0,-38911.23000000001,0.0,6672012.460000001,6633101.229999999,0.0,0.0,0.0,10542436.849999998,10552761.84,5477247.07,750053.91,9381552.92,15608853.9,976417.94,11593455.44,15608853.9,17023.0,Pequeno Porte,17023.0,Pequeno Porte,17.023,Pequeno Porte,362140201603
362140,2016,4,201604,0.0,0.0,2651.62,0.0,0.0,1097782.04,0.0,5186138.58,297013.41000000015,263129.94000000006,257415.39000000013,625879.0599999998,1917999.29,11070401.669999998,11183369.300000004,-67349.53999999998,0.0,2044222.47,629678.4,1313668.58,16120.26,698354.75,4702044.46,2271769.789999999,0.0,-27330.14,0.0,6650428.34,6623098.200000003,0.0,0.0,0.0,10359216.0,10361709.839999996,6056775.04,784516.78,9065874.93,15907166.75,1033367.25,11982700.43,15907166.75,16730.0,Pequeno Porte,16730.0,Pequeno Porte,16.730,Pequeno Porte,362140201604
362573,2016,1,201601,0.0,51418.99,2421.14,0.0,0.0,0.0,0.0,12987654.57,61288.64,398146.12,80747.41,337791.77,423175.27,9241364.47,10345346.04,-9740.75,219170.28,1999155.54,1866985.51,2440999.21,79815.44,0.0,6386955.7,1610844.25,7580.17,82804.26,969990.04,6065734.47,7118528.77,0.0,0.0,1187106.26,8380941.39,9559148.9,6308394.33,10612311.55,8656114.65,25576820.53,1454482.68,17942647.86,25576820.53,32185.0,Médio Porte,32185.0,Médio Porte,32.185,Médio Porte,362573201601
362573,2016,2,201602,0.0,47927.83,3654.83,0.0,0.0,0.0,0.0,5788814.24,15521.190000000002,440561.73,75462.4,426277.29000000004,422633.0,9175571.069999998,8953456.720000003,0.0,134936.79,2033418.24,1408383.47,2542839.56,69684.36,0.0,6054325.63,1768163.42,14209.820000000002,34262.70000000001,528341.98,6329346.78,6891951.460000001,0.0,0.0,640769.1000000001,7369830.930000001,8020731.110000001,5951343.19,10904068.93,7817377.32,24672789.44,488632.54,16986806.05,24672789.44,16127.0,Médio Porte,16127.0,Médio Porte,16.127,Médio Porte,362573201602
362573,2016,3,201603,0.0,44566.63,3698.0,0.0,0.0,292942.19,0.0,6754763.99,71898.52,446934.7600000001,101125.54000000001,553236.53,644436.1499999999,9263648.71,9282901.399999999,-313232.9,139420.56,2083799.36,1388366.93,2532049.8,59553.3,1521734.45,7585503.84,1874300.5499999998,15990.939999999999,50381.11999999998,118538.95999999996,6458875.449999999,6627795.530000001,0.0,0.0,144901.42999999993,8282228.969999999,8437261.459999997,5828122.4,11023150.8,9378147.67,26229420.87,2103503.91,17749917.89,26229420.87,14192.0,Médio Porte,14192.0,Médio Porte,14.192,Médio Porte,362573201603
362573,2016,4,201604,0.0,43219.17,2091.53,0.0,0.0,292942.19,0.0,6917774.81,14379.51999999999,426143.59999999986,105078.4,925121.47,514676.25,9309308.670000002,9573542.309999999,-160321.45999999996,132322.72999999998,2168826.8,1535876.3,2568912.24,50077.1,1543166.2,7866858.64,1672845.9800000004,11358.57,85027.44,251282.8500000001,6666656.699999999,7002966.989999998,0.0,0.0,59743.35999999987,8313148.52,8382368.079999998,5960033.31,11300548.81,9478819.36,26739401.48,2525613.81,17926307.37,26739401.48,13545.0,Médio Porte,13545.0,Médio Porte,13.545,Médio Porte,362573201604
362832,2016,1,201601,0.0,17218.8,30003.88,0.0,0.0,0.0,0.0,4805066.25,11557.9,160026.5,4788.2,2092437.93,2229492.61,6429070.01,6864164.84,-128424.04,87313.97,1569194.82,893669.66,1291960.22,0.0,0.0,3754824.7,1013046.15,0.0,51470.52,0.0,3130272.53,3181743.05,0.0,0.0,0.0,4808660.98,4808660.98,4458735.11,3604797.48,6467762.07,14531294.66,683879.6,9868632.34,14531294.66,6631.0,Pequeno Porte,6631.0,Pequeno Porte,6.631,Pequeno Porte,362832201601
